idRegister,idUser,responseTime
2133,3253,322
1049,3175,311
1869,3933,268
1723,3686,261
1806,3017,277
1882,3414,263
1200,3689,261
2565,3462,264
2832,3764,262
1500,3970,263
2439,3599,260
2797,3498,269
2129,3772,263
1731,3901,265
2689,3250,264
1687,3232,258
1801,3991,259
2768,3856,261
1314,3522,258
2722,3738,275
2960,3415,263
1395,3396,268
1243,3138,267
1418,3791,262
2239,3263,259
2522,3181,262
1162,3732,407
2415,3831,259
1958,3676,269
1435,3519,308
2210,3470,260
2648,3823,314
2391,3791,259
2308,3986,260
2706,3180,266
2929,3071,263
2566,3509,262
1803,3609,258
1541,3806,256
2708,3367,259
2163,3447,257
1735,3587,262
2235,3570,265
1553,3088,261
2850,3424,269
2558,3210,259
1451,3909,270
2184,3813,259
2652,3585,260
2212,3931,263
