idRegister,idUser,responseTime
1947,3949,279
1833,3259,262
2167,3447,278
1303,3097,300
1874,3316,277
2114,3963,299
1683,3021,296
2620,3615,259
2591,3179,266
2616,3325,330
2879,3576,283
2001,3200,258
2438,3340,264
1188,3162,264
1099,3595,268
2454,3893,269
2502,3894,269
1806,3316,319
1601,3117,259
2932,3196,258
1900,3351,324
2321,3787,274
1285,3423,288
2453,3246,307
1843,3802,261
2489,3374,269
2371,3432,265
2418,3976,264
2464,3792,271
2815,3787,267
2008,3355,261
1218,3577,275
1642,3699,307
1286,3967,260
1971,3014,267
1959,3383,260
2014,3577,259
2609,3406,266
2845,3296,267
1436,3473,260
2895,3281,265
1652,3363,260
2134,3704,260
2958,3801,283
1561,3164,278
1865,3506,265
1389,3626,264
1947,3266,259
1855,3334,271
1865,3149,313
