idRegister,idUser,responseTime
2801,3382,267
1966,3194,307
1010,3110,262
2501,3753,288
1198,3847,271
2627,3539,259
1761,3322,266
2848,3843,265
2932,3213,260
2961,3609,264
2701,3011,257
1271,3067,258
2927,3568,278
1095,3145,269
2081,3230,263
1320,3569,260
1004,3642,262
2508,3733,274
1692,3382,260
2166,3026,262
2483,3821,269
1342,3080,264
1023,3488,263
1662,3448,269
2574,3475,264
1539,3143,257
2051,3464,261
2080,3560,262
1914,3455,265
1807,3823,309
2992,3358,256
2242,3653,259
1465,3312,274
2263,3100,261
2286,3388,259
2752,3362,268
2963,3338,288
2804,3182,281
1452,3713,282
1948,3113,292
1658,3402,270
1068,3118,271
1479,3631,276
2590,3285,261
1161,3484,257
1055,3588,258
1706,3043,273
1329,3995,270
2571,3999,287
1207,3923,266
