idRegister,idUser,responseTime
2212,3426,264
2511,3778,865
1312,3732,262
2324,3346,259
1057,3288,257
2472,3917,259
1114,3657,286
2513,3015,261
2984,3582,260
2729,3991,262
1025,3535,278
1012,3389,266
1495,3638,275
2087,3017,259
2596,3594,296
2460,3232,264
2420,3108,269
2775,3480,263
1347,3855,262
1890,3394,261
1851,3441,262
2172,3547,258
2403,3399,255
1572,3860,313
1376,3953,284
2309,3794,315
2954,3732,255
2911,3032,258
1591,3375,267
2534,3595,260
1872,3766,269
1312,3862,260
1575,3513,265
1040,3808,264
2693,3091,261
1590,3514,276
1111,3194,257
2913,3196,335
2259,3319,265
1208,3190,283
1560,3382,258
1728,3679,267
2218,3056,327
1791,3822,261
1265,3213,326
2919,3800,261
1415,3907,259
1402,3397,318
2578,3082,260
2742,3053,258
