idRegister,idUser,responseTime
2831,3132,261
2296,3898,266
1848,3656,259
2213,3271,260
1153,3571,265
1998,3479,266
1261,3540,266
2538,3876,283
2354,3574,262
1576,3131,267
2264,3822,264
1548,3240,263
1252,3548,262
2853,3385,274
1568,3527,262
2629,3982,266
1785,3628,263
2379,3819,265
2050,3514,260
1845,3036,282
2027,3184,265
1325,3817,264
1560,3110,277
2788,3194,272
1700,3804,265
2937,3652,261
1189,3357,274
2256,3922,259
1920,3614,258
2479,3189,268
2887,3252,258
2157,3599,267
1318,3046,296
1950,3943,261
1242,3288,288
1990,3516,271
2589,3357,271
1669,3408,264
1380,3386,335
1162,3036,264
1724,3146,259
1586,3405,263
2037,3086,261
1454,3097,274
1988,3958,278
1837,3205,261
2696,3431,259
1681,3366,357
2110,3649,263
2366,3719,260
