idRegister,idUser,responseTime
1719,3436,316
2826,3918,279
1604,3126,275
1417,3847,268
2992,3301,277
1355,3499,272
2113,3972,288
1311,3147,301
1358,3886,271
1284,3158,260
1636,3281,261
1047,3299,281
2254,3629,276
1670,3008,258
2285,3806,268
1686,3881,273
2034,3257,303
2084,3345,270
2985,3187,268
2138,3040,269
1979,3045,269
2288,3275,264
1190,3368,270
2962,3285,265
2044,3269,262
1959,3462,300
1603,3469,287
2542,3133,256
2187,3900,287
2298,3763,278
2510,3408,263
2717,3917,273
2019,3719,269
2291,3229,265
2989,3477,273
2197,3892,275
2629,3650,263
2833,3893,273
2945,3935,261
1555,3592,262
1916,3393,323
1281,3565,282
2689,3070,263
2954,3227,268
1061,3557,278
1829,3026,280
2982,3006,265
2173,3367,276
1745,3557,292
2658,3198,318
