idRegister,idUser,responseTime
1758,4084,604
2254,4163,413
1000,5360,560
1994,4763,351
2905,5957,356
2311,5493,273
1055,3452,253
2008,4397,283
1112,4722,497
2135,4446,275
2924,3318,381
2472,5872,241
1876,3663,328
1723,4140,276
2299,3440,325
1512,5392,232
2607,3803,517
1042,4460,357
1813,3713,457
2604,3479,299
2685,4534,269
2185,3911,464
1902,4766,377
1152,3047,341
1783,3199,370
2685,4623,323
1756,3763,446
2199,3781,336
2414,5152,321
1086,5237,331
2018,5851,272
2754,4220,249
1992,5506,454
2636,5566,415
2643,3454,283
2985,3406,214
2887,4400,297
2038,5352,353
2158,5117,203
1996,3365,265
1716,3704,394
1164,3719,277
1080,3801,255
2188,4859,349
1496,4050,424
1544,4854,474
1158,3757,233
2089,4108,271
2966,5534,307
1907,3179,226
