idRegister,idUser,responseTime
1867,5049,823
2467,3124,774
2161,5551,1162
2097,4745,393
2644,4081,344
1899,5568,309
1381,3266,375
2194,3182,820
2877,5218,879
2749,5173,1166
1503,4027,1003
2795,5448,1008
1187,3722,1037
1496,5300,226
2483,5104,1005
2886,5934,1440
1733,5059,1051
2878,5397,308
2635,3399,1423
2492,5338,424
1926,3755,796
1549,5486,296
2956,4441,1079
1701,3447,261
2308,3515,307
1873,5435,794
2340,4566,383
1104,4654,1462
2012,3108,1633
2553,4710,552
1323,3973,339
1181,4346,1153
1559,3387,853
2204,3904,283
2991,3160,290
1935,4778,892
2467,5261,286
1928,3166,955
1966,3827,913
2409,4693,272
2466,5137,236
1275,5137,259
1817,5254,1043
1216,5410,781
2269,4586,864
2487,5494,893
1957,5544,1018
1402,4803,286
2432,4414,965
1586,5376,789
