idRegister,idUser,responseTime
2259,3213,399
2958,3400,314
2750,3667,230
1463,3509,296
2576,3674,277
2958,4978,473
1757,4209,291
1904,4278,338
2988,5183,312
1232,3116,260
1145,4558,236
2254,5134,283
1992,3716,272
1281,5510,230
1126,5185,265
2199,4329,256
1102,3089,251
1211,4414,217
2960,4622,218
1391,4622,227
2858,4335,226
2649,4560,242
2125,3178,277
1682,4741,287
2037,5666,293
1830,5052,213
1224,5128,274
1951,3372,284
1063,4792,246
1770,4339,228
1034,5364,253
1821,5403,271
1461,4533,200
1408,3242,305
2362,4055,313
2263,4153,219
2830,5452,331
2286,4835,280
2514,5365,313
2809,5982,266
2111,3429,245
2991,3843,261
2714,3134,227
2640,5746,232
1793,5620,281
2460,4155,240
2349,3313,286
1621,4968,258
2846,4809,261
1621,4326,237
