idRegister,idUser,responseTime
2537,3056,477
2089,3279,431
2610,3731,287
1711,5571,275
1459,5420,212
2514,4720,278
1638,3920,272
2327,4054,259
2123,5547,302
2605,4343,278
1698,3155,243
1696,4612,267
1334,5542,256
2620,3725,231
2444,5445,342
2987,3010,401
2439,4350,258
1959,3733,287
2955,3281,297
1147,4844,246
2017,3109,321
2604,3250,309
1003,4943,359
1050,4754,265
2190,5721,315
2918,5772,419
1767,5513,249
1353,5968,313
1466,3708,286
2961,3276,286
2711,4808,279
2556,3551,296
2768,4919,290
1349,4568,343
2698,5014,319
1644,3650,229
2740,3867,266
2944,3529,239
2896,5259,204
1818,3752,250
1969,3004,297
1832,3941,282
2066,4045,251
1074,3598,269
2651,5214,243
2314,5698,229
2173,5008,269
1522,3498,248
1641,3338,345
1648,3066,267
