idRegister,idUser,responseTime
2662,5753,456
2910,4477,1287
2232,5224,446
1177,5965,281
1921,5402,738
1548,3891,960
2435,5276,276
1955,5911,284
2748,4425,1146
2764,5650,694
1977,3678,1042
2695,3247,327
1024,5481,914
1994,3582,452
1774,4479,1008
1323,3087,1010
1699,5807,1224
2138,4439,960
1305,5988,1145
2752,4819,963
2925,5976,272
1251,4533,343
1606,4612,921
1180,3126,984
1835,3235,251
1664,5867,233
1018,4742,959
1580,5499,882
1967,3739,316
2460,3537,248
2871,3115,1115
2828,4189,1094
2928,5290,262
1678,3043,1090
1123,4863,313
1997,4500,334
2972,5661,1078
1602,5896,907
2480,5833,779
1078,3820,1139
2069,4688,254
1263,4678,294
2226,4091,299
2802,4337,271
1479,3208,652
2770,4129,758
1892,4647,271
2247,4656,793
1202,3909,964
2344,5089,718
