idRegister,idUser,responseTime
1529,3143,1079
1644,3805,311
2974,3254,1748
2157,5716,1126
1156,4556,337
2163,5064,866
2604,3306,355
1430,5469,276
2163,4808,288
1734,5347,275
1253,5105,317
2604,4583,232
1129,4069,988
2355,4844,801
2378,4325,753
1322,3213,303
1033,5478,1114
1417,5416,1287
1093,5643,845
2843,3871,267
2966,5352,297
2775,5442,761
1962,3402,1035
2658,3416,934
1206,3260,297
1073,3175,258
1632,4114,1027
2312,5420,352
2106,3168,268
2592,5882,796
1498,5255,295
1755,4258,315
1545,5165,285
1920,3541,781
1396,4114,812
2075,3050,726
1996,3441,277
1272,3167,1089
2772,4266,1059
2247,3218,266
2876,4344,734
2876,5414,203
1618,5097,790
1031,4278,941
2347,5788,743
2369,5659,1034
1601,3537,289
1485,3949,983
1943,3795,257
2588,3637,734
