idRegister,idUser,responseTime
2926,3679,408
2608,3440,408
2838,3213,407
1009,3410,408
1353,3846,311
1586,3796,412
1521,3437,411
1297,3434,431
2078,3993,338
1400,3971,412
2659,3425,419
1116,3697,413
2892,3879,413
1688,3495,459
2064,3602,405
2480,3759,434
2064,3670,409
2067,3163,418
1327,3164,410
2121,3764,408
1513,3258,407
2750,3577,410
2550,3309,428
2450,3393,414
2191,3788,322
2666,3683,414
1686,3057,415
1759,3162,408
1149,3250,411
1869,3581,407
1003,3450,404
2875,3679,454
1687,3828,478
2647,3604,465
2150,3068,375
2641,3392,260
1147,3582,409
2747,3591,415
2144,3487,412
1666,3378,409
2389,3826,461
1914,3378,412
2502,3204,412
1084,3115,409
2780,3715,407
2146,3953,469
2910,3252,412
2338,3591,413
1725,3075,393
1967,3712,410
