idRegister,idUser,responseTime
1741,3560,346
1805,3620,363
2673,3515,372
1682,3974,336
1275,3208,332
2517,3518,339
1769,3142,342
2553,3960,354
1168,3527,344
1507,3140,361
2382,3294,346
1999,3648,339
2218,3427,337
1724,3753,346
2704,3011,334
2051,3489,350
1659,3971,341
2966,3986,339
1358,3229,346
1739,3779,337
1223,3314,353
2335,3207,371
1511,3891,334
1496,3535,340
1233,3620,342
1869,3814,378
2175,3577,336
2096,3432,355
2913,3375,340
2036,3916,378
2990,3623,340
2907,3262,344
1386,3209,372
2445,3037,351
1666,3803,348
1334,3509,330
2991,3324,336
1089,3762,347
1362,3754,348
1427,3721,390
1558,3045,366
2406,3628,341
2997,3541,349
1112,3937,337
1226,3430,336
1675,3907,346
1404,3272,335
1613,3289,353
1089,3077,555
2858,3653,343
