idRegister,idUser,responseTime
1785,3529,508
1166,3811,408
1196,3625,411
2194,3346,408
1154,3545,597
1730,3953,537
2534,3176,567
1130,3493,621
1237,3984,416
1487,3244,516
1648,3272,510
2287,3046,430
1251,3349,428
1143,3139,342
2703,3240,439
1733,3717,517
2578,3125,559
1007,3917,406
2721,3418,402
2531,3996,464
2023,3207,491
1488,3864,378
1686,3969,410
2636,3902,416
2855,3017,509
1690,3938,474
1056,3172,510
1191,3081,409
1179,3202,409
1624,3138,425
2529,3841,409
2409,3110,402
1487,3349,413
1588,3232,411
2428,3038,415
1498,3430,410
2682,3947,406
2635,3707,448
2489,3202,428
1438,3443,408
1304,3350,407
2323,3589,338
1619,3557,410
2841,3361,411
1788,3724,410
1250,3973,718
2008,3860,262
1549,3714,334
2582,3018,261
1839,3322,304
