idRegister,idUser,responseTime
2994,4424,836
2197,3396,929
2523,3395,392
2752,4232,853
1183,5876,412
2950,4171,936
2069,4901,872
2020,4705,913
1191,3549,973
2065,3260,346
2508,5772,1142
1178,4162,358
1726,4367,783
1973,3263,828
1925,5379,912
1534,3196,1103
2387,3027,732
2447,4704,1022
2889,4878,784
1931,3631,449
2401,5752,375
1653,4860,380
2724,5516,812
1903,4432,352
2605,5096,391
2232,4664,1157
2622,5643,374
1559,3308,427
2123,3738,316
1481,4882,743
2399,3121,850
1844,4060,904
2904,4234,408
1137,3603,993
1713,5805,356
2013,3189,728
2650,3540,812
2916,5176,684
1779,3900,813
2619,5987,379
1934,4904,424
1585,3825,781
2819,3341,737
2822,4578,1097
1736,5834,969
1851,5909,972
1046,3862,350
1372,5040,388
1239,5901,1019
1479,4110,814
