idRegister,idUser,responseTime
1766,4943,479
2640,4978,390
2116,5449,388
1390,3213,855
1453,5921,821
1144,5653,397
1438,3778,815
2439,5303,674
2991,5044,390
1066,3353,374
1153,5286,837
2382,4437,755
1525,5168,835
2356,3882,789
2966,4643,1079
2857,5362,1148
2184,5889,941
2382,5805,373
1942,3359,1011
2932,5717,840
2476,3510,322
2219,4667,1002
2856,5174,791
1473,3257,424
2479,5777,789
1564,5918,850
1448,3577,392
1792,4087,939
2510,4219,762
1220,3077,816
2940,4458,779
1330,4264,330
2284,4964,354
2344,4411,1031
1820,4115,918
1820,3443,305
1115,3443,943
1118,3982,960
2418,4147,1072
1879,5125,737
2374,5744,870
1164,4601,1029
1442,3075,327
2768,3450,471
2590,3347,415
1561,3043,836
2417,3918,862
2853,5175,746
1727,3826,888
2165,4339,760
