idRegister,idUser,responseTime
2428,5211,579
2698,5759,1245
2986,5944,1345
2640,3753,463
2872,5173,1055
2721,5334,504
1103,5994,1199
1995,4091,1185
2483,5839,1318
2491,4652,492
2151,5652,473
1280,5053,442
2715,4845,810
2198,5589,961
1515,4011,1216
2005,3270,944
2993,4512,1094
2377,4969,1234
1513,5011,910
2476,5857,1018
2946,5723,1011
2968,3180,1088
2689,4565,996
2639,4748,1169
2085,3414,1095
1400,3630,794
2700,3056,1446
1493,5022,1114
2004,5128,433
2535,5938,1059
1237,3523,369
1289,5463,1349
1870,5779,1197
1624,3819,1202
1556,4884,776
1205,4662,991
2695,4866,1380
2606,4789,476
1314,3607,1236
1007,4058,1148
2366,3772,905
2837,5141,1050
2725,5471,1051
1772,3973,1040
1328,3024,1154
2295,4001,1159
1674,5089,1019
2340,3395,1292
1076,5217,1146
1855,3513,1025
