idRegister,idUser,responseTime
1834,4290,1161
2432,5589,406
2251,4371,939
1321,5574,429
1942,5362,356
1488,5688,382
2427,4891,377
2100,5934,801
1237,3322,375
2897,5990,984
1652,3988,367
2457,3410,360
1788,4127,417
1303,3054,837
2855,3963,1133
1335,4332,355
2495,4050,1062
2626,3273,805
1180,3643,346
2021,3592,1063
2406,5462,963
2782,3986,406
2773,3161,809
2017,5878,377
2105,4790,390
1642,5258,959
2130,4749,1027
1360,4755,391
1591,3376,967
2212,5050,834
1504,3228,368
1450,5409,898
1565,4914,364
1453,3177,390
1106,3989,421
2075,3297,914
1442,5915,350
1097,5753,365
1356,5874,705
1725,5230,368
1232,5683,1115
1801,3055,363
1944,3120,364
2380,3130,377
1011,4412,466
2967,4041,359
1143,4606,1130
1122,4471,934
1160,4004,832
1854,3480,354
